Brand,Model,Size_in,Throat_in,Diameter_mm,Z_ohm,Re_ohm,Le_mH,Bl_Tm,Sd_cm2,Mms_g,Mmd_g,Cms_mm_per_N,Vas_L,Fs_Hz,Qms,Qes,Qts,Rms_kg_per_s,Xmax_mm,Power_W,Sensitivity_dB,XO_min_Hz,Freq_low_Hz,Source_URL
18Sound,10M600,,,,8.0,,,,,,,,,,,,,,,,,,,
18Sound,10M600-8-alt,,,,,,,,,,,,,,,,,,,,,,,
18Sound,10NDA610,,,,8.0,,,,,,,,,,,,,,,,,,,
18Sound,10NMB420,,,,8.0,,,,,,,,,,,,,,,,,,,
18Sound,10NMB420,,,,16.0,,,,,,,,,,,,,,,,,,,
18Sound,10NMBA520,,,,8.0,,,,,,,,,,,,,,,,,,,
18Sound,10NTLW2000,,,,8.0,,,,,,,,,,,,,,,,,,,
18Sound,10NW650,,,,8.0,,,,,,,,,,,,,,,,,,,
18Sound,10W500,,,,8.0,,,,,,,,,,,,,,,,,,,
18Sound,12CX800,12,,,8.0,5.8,1.3,18.5,530,48,,,73,53,4.00,0.27,0.25,,6.3,400,107.0,,,
18Sound,12CX800-8+8,,,,,,,,,,,,,,,,,,,,,,,
18Sound,12LW1400,12.0,,,8.0,5.2,1.5,20.0,531.0,88.0,,,55.0,45.0,5.0,0.32,0.3,,8.25,900.0,96.0,,,
18Sound,12LW800,12,,,8.0,5.6,1.72,21.3,531,76.5,,,48,52,7.60,0.30,0.29,,6.5,500,104.5,,,
18Sound,12LW801,12,,,8.0,5.0,1.7,20.3,531,84,,,41,54,9.00,0.34,0.33,,8,500,104.2,,,
18Sound,12MB1000,12.0,,,8.0,5.8,1.46,23.5,531.0,55.5,,,60.0,54.0,6.0,0.2,0.18,,2.5,600.0,102.0,,,
18Sound,12MB600,12,,,4.0,2.7,0.45,14.9,531,56,,,86,46,4.89,0.19,0.19,,4.5,450,101.0,,,
